Timestamp,base_PosX,base_PosY,base_PosZ,base_RotX,base_RotY,base_RotZ,base_RotW,base_jointAngle,shoulder_PosX,shoulder_PosY,shoulder_PosZ,shoulder_RotX,shoulder_RotY,shoulder_RotZ,shoulder_RotW,shoulder_jointAngle,elbow_PosX,elbow_PosY,elbow_PosZ,elbow_RotX,elbow_RotY,elbow_RotZ,elbow_RotW,elbow_jointAngle,wrist1_PosX,wrist1_PosY,wrist1_PosZ,wrist1_RotX,wrist1_RotY,wrist1_RotZ,wrist1_RotW,wrist1_jointAngle,wrist2_PosX,wrist2_PosY,wrist2_PosZ,wrist2_RotX,wrist2_RotY,wrist2_RotZ,wrist2_RotW,wrist2_jointAngle,wrist3_PosX,wrist3_PosY,wrist3_PosZ,wrist3_RotX,wrist3_RotY,wrist3_RotZ,wrist3_RotW,wrist3_jointAngle,ee_PosX,ee_PosY,ee_PosZ,ee_RotX,ee_RotY,ee_RotZ,ee_RotW,suctionOn,blockAttracted
3.346,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
3.451,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
3.555,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
3.659,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
3.759,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
3.862,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
3.968,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
4.076,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
4.178,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
4.279,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
4.382,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
4.483,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
4.586,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
4.686,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
4.790,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
4.892,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
4.993,1.454,0.953,-0.014,0.000,-0.707,0.000,-0.707,179.977,1.454,0.953,0.122,-0.267,-0.655,0.267,-0.655,-45.656,1.751,1.257,0.002,-0.548,-0.447,0.548,-0.447,57.303,2.135,1.178,0.002,-0.564,-0.427,0.564,-0.427,-85.944,2.135,1.178,0.095,-0.797,-0.604,0.000,0.000,-89.954,2.226,1.152,0.095,-0.797,-0.604,0.000,0.000,0.000,2.204,1.073,0.095,-0.991,0.137,0.000,0.000,False,False
